Feature,Coeficiente,Intercepto
ocu,-0.07816266101295648,-1.289740727760223e-06
ocu_lag_1,0.019302690868419885,-1.289740727760223e-06
ocu_lag_2,0.053494201056914804,-1.289740727760223e-06
ocu_lag_6,0.03295486939070324,-1.289740727760223e-06
ocu_lag_12,-0.04441481529640029,-1.289740727760223e-06
ocu_lag_138,0.015218832037053221,-1.289740727760223e-06
ocu_lag_144,-0.008624125839307517,-1.289740727760223e-06
ocu_trend_1,0.00578856660243174,-1.289740727760223e-06
ocu_trend_2,0.015083196493159569,-1.289740727760223e-06
ocu_trend_6,0.015626369823813165,-1.289740727760223e-06
ocu_trend_12,-0.03444465777333966,-1.289740727760223e-06
time_sin,-0.0004382624914545947,-1.289740727760223e-06
time_cos,5.412600711129761e-05,-1.289740727760223e-06
day_sin,-0.00012405638744981693,-1.289740727760223e-06
day_cos,-2.4997942211825635e-05,-1.289740727760223e-06
is_weekend,0.00020111461274526174,-1.289740727760223e-06
is_holiday,1.3124247076669345e-05,-1.289740727760223e-06
capacity,-0.0012984335643395257,-1.289740727760223e-06
is_operating,-0.0003856059623600362,-1.289740727760223e-06
commerce_pois_300m,-0.00011159408399499353,-1.289740727760223e-06
finance_pois_300m,-0.0002884839212206863,-1.289740727760223e-06
culture_pois_300m,0.00011597934639191398,-1.289740727760223e-06
education_pois_300m,-0.00027683231133289867,-1.289740727760223e-06
sport_recreation_pois_300m,-6.727243960723354e-05,-1.289740727760223e-06
hotels_pois_300m,0.0007458181732519838,-1.289740727760223e-06
food_pois_300m,0.00023848246794679902,-1.289740727760223e-06
health_pois_300m,-8.018077760405545e-05,-1.289740727760223e-06
drink_pois_300m,4.645631106137212e-05,-1.289740727760223e-06
transit_nearest_station_m,-0.0004881042339848547,-1.289740727760223e-06
transit_stations_300m,0.0002170687932482758,-1.289740727760223e-06
ids_population_300m,0.0001991971409889685,-1.289740727760223e-06
ids_300m,-0.0008638486607490954,-1.289740727760223e-06
utm_x,1.6353006050191012e-05,-1.289740727760223e-06
utm_y,0.0012331428206823493,-1.289740727760223e-06
station_netflow_rate,0.014459148729761308,-1.289740727760223e-06
station_turnover_rate,0.0009188247565715848,-1.289740727760223e-06
temperature_2m,-0.0001986287051746922,-1.289740727760223e-06
rain,0.00026155679217749393,-1.289740727760223e-06
surface_pressure,0.0008267874455280017,-1.289740727760223e-06
cloud_cover,-2.152972576738659e-06,-1.289740727760223e-06
wind_speed_10m,0.00016899254400902738,-1.289740727760223e-06
relative_humidity_2m,0.0004626788014207204,-1.289740727760223e-06
