Feature,Importance
station_netflow_rate,6.63910436630249
ocu,6.443436622619629
is_operating,2.454728841781616
ocu_lag_1,2.1906261444091797
ocu_lag_138,1.6733866930007935
station_turnover_rate,1.328170895576477
is_weekend,1.2285001277923584
is_holiday,1.110200047492981
ocu_trend_2,0.8915882110595703
day_sin,0.8833358883857727
time_cos,0.8495419025421143
time_sin,0.7989140748977661
utm_x,0.7747929096221924
utm_y,0.7441859841346741
ocu_lag_144,0.7362959384918213
ocu_lag_6,0.7248401641845703
ocu_lag_2,0.6755922436714172
day_cos,0.6430413126945496
ocu_trend_1,0.6403988003730774
ocu_trend_6,0.5596793293952942
finance_pois_300m,0.5514518022537231
hotels_pois_300m,0.5354007482528687
capacity,0.5199632048606873
ids_300m,0.5081292986869812
food_pois_300m,0.4601537585258484
ids_population_300m,0.4494211971759796
sport_recreation_pois_300m,0.4395560622215271
temperature_2m,0.437020480632782
culture_pois_300m,0.40879952907562256
ocu_trend_12,0.39616066217422485
drink_pois_300m,0.3905479311943054
ocu_lag_12,0.3842555582523346
transit_stations_300m,0.3753468096256256
rain,0.3670421838760376
health_pois_300m,0.36321157217025757
commerce_pois_300m,0.3544521927833557
transit_nearest_station_m,0.3512701392173767
relative_humidity_2m,0.347833514213562
surface_pressure,0.33912426233291626
education_pois_300m,0.32452553510665894
wind_speed_10m,0.24819768965244293
cloud_cover,0.24471068382263184
